,id,title,category_id,views,likes,favorites,comments,date,duration,tags
0,WXMIQQ-ukVI,※제일엔터 1호 뮤지션 연습 현장 유출※ #shorts,24,338991,251,0,NaN,2023-02-22T09:00:30Z,60,NaN
1,8Je9yS0XgQQ,1호 연습생에서 1호 뮤지션이 되기까지 🕺ㅣ제일엔터테인먼트 EP.0,24,315447,188,0,NaN,2023-03-02T09:00:05Z,204,"['제일기획', '삼성', '김해준', '최준', '피식대학', '엔터테인먼트', '예능', '유튜브', '음원', 'kpop', '가수', '개가수', '서바이벌']"
2,Gy7nIokiEOc,New Artistㅣ Kim Hae Jun (김해준) Official Teaser,24,489061,172,0,NaN,2023-03-08T09:00:08Z,50,"['김해준', '데뷔', '최준', '피식대학', '가수', 'KPOP', '티저', '뮤비', '엔터테인먼트', '제일기획', '뮤지션', '춤', '노래']"
3,qPGb44Aggtw,축🎉데뷔 D-DAY🔥 가요계의 돌풍 김해준의 듀엣 파트너는 과연 누구?ㅣ제일엔터테인먼트 EP.01,27,373834,544,0,NaN,2023-03-15T09:00:35Z,939,"['김해준', '최준', '피식대학', '듀오', '남성', '가수', '데뷔', '엔터', '남창희', '조남지대', '조세호', '개가수', '궁합', 'KPOP', '제일엔터테인먼트', '제일엔터', '제일기획', '채널일']"
4,6takkyLbkv8,👏멤!버!구!함!👏 드디어 정해진 김해준의 듀엣 파트너를 공개합니다ㅣ제일엔터테인먼트 EP.02,27,436070,1612,0,NaN,2023-03-22T09:00:02Z,917,"['김해준', '최준', '피식대학', '듀오', '멤버', '그룹', 'kpop', '이대휘', '워너원', 'ab6ix', '브랜뉴뮤직', '팬덤', '팬', '위아원', '엔터테인먼트', '제일기획', '프로필', '데뷔']"
5,atUDrEJMsTA,✋하나 둘! 안녕하세요 저희는 쿼카N수달입니다🤚ㅣ제일엔터테인먼트 EP.03,27,527646,1870,0,NaN,2023-03-29T09:00:02Z,929,"['제일기획', '제일엔터', '엔터테인먼트', '데뷔', '듀오', '사주', '타로', '강남역', '이대휘', '워너원', 'AB6IX', '프로듀스', '그룹', '김해준', '피식대학', '메타코미디', '개그맨', '리슨업', '음원']"
6,6MGzjm70124,쿼카N수달에게 트렌드를 묻다ㅣ제일엔터테인먼트 EP.04,24,280026,884,0,NaN,2023-04-05T09:00:05Z,905,"['이대휘', '김해준', '최준', '피식대학', '피식쇼', '유튜브', '인기동영상', '워너원', '엠넷', 'AB6IX', '제일기획', '제일엔터', '엔터테인먼트', '데뷔', '듀오', '그룹', '쿼카N수달', '중국', '미국', 'SHOW', '글로벌', '용주리', '왕치엔', '중국판하트시그널', '서바이벌', '약과', '트렌드', 'MZ']"
7,qSrByDOHErM,🎤쿼카N수달🎤 게릴라 버스킹 출격 완료 🎶ㅣ제일엔터테인먼트 EP.05,24,356188,1163,0,NaN,2023-04-12T09:00:36Z,1285,"['김해준', '최준', '이대휘', '워너원', 'ab6ix', '피식대학', '브랜뉴', '데뷔', '쿼카N수달', '제일기획', '제일엔터', '엔터테인먼트', '버스킹', '유튜브', '길거리', '신촌', '라이브', '음원', '비긴어게인', 'UNFORGETABLE', '폴킴', '안녕', '리슨업', '안부', '듀엣']"
8,7g3vWYHEU8o,[COVER] 쿼카N수달 - 안부 Full ver,24,361784,606,0,NaN,2023-04-19T09:00:06Z,236,"['쿼카N수달', '김해준', '최준', '이대휘', '워너원', 'AB6IX', '브랜뉴', '대휘', '뮤직', '음악', '커버', '유튜브', '안부', '별', '나윤권', '듀엣', '듀오', 'COVER', '풀버전', '버스킹', '제일기획', '제일엔터테인먼트']"
9,L9j4y_LPrBs,요즘 난리 난 쿼카N수달 with 땡절스ㅣ제일엔터테인먼트 EP.06,24,365154,932,0,NaN,2023-04-26T09:00:12Z,922,"['김해준', '최준', '피식대학', '이대휘', '워너원', 'ab6ix', '엔터테인먼트', '제일기획', '제일엔터', '쿼카N수달', '듀엣', '듀오', '라이벌', '아이돌', '케이팝', '5세대', '땡절스', '틱톡', '남매', '유튜브', '음악퀴즈', '챌린지', '유행', '땡깡', '진절미', '폼미쳤다']"
10,Gfo5F30n_IM,🔥데뷔 임박🔥 신인이 갖춰야 할 모든 것들ㅣ제일엔터테인먼트 EP.07,24,370132,828,0,NaN,2023-05-03T09:00:16Z,894,"['제일엔터', '제일기획', '엔터테인먼트', '김해준', '최준', '피식대학', '이대휘', '대휘', 'AB6IX', '워너원', '겟잇뷰티', '연예인관리', '붓기관리', '왓츠인마이백', '관리법', '붓기', '디톡스', '네일케어', '남자손', '앨범', '앨범자켓', '컨셉', '포토', '화보', '데뷔', '아이돌', 'KPOP', '아트워크', '음원', '매거진', '촬영']"
