,title,category_id,views,likes,favorites,comments,date,tags
0,공항에서 뒷돈을? [탄자니아🇹🇿 EP.01],19,6770,240,0,NaN,2022-01-30T02:15:01Z,"['세계여행', 'travel', 'africa', 'tanzania', 'dar es salaam', 'greece', '공항 경유', 'world', 'world travel']"
1,동네 정찰하기 [탄자니아🇹🇿 EP.02],19,8832,252,0,NaN,2022-02-01T04:15:11Z,"['세계여행', 'travel', 'world travel', '쫑쫑걸음', 'africa', 'travel africa', 'tourlist']"
2,아프리카 물가 & 뜻밖의 인연 [탄자니아🇹🇿 EP.03],19,9315,284,0,NaN,2022-02-03T12:47:51Z,"['세계여행', 'world travel', 'travel', 'africa', 'africa travel', 'tanzania', '배낭 여행']"
3,-,-,-,-,-,-,-,-
4,위험한 뒷골목에서 만난 친구 [탄자니아🇹🇿 EP.04],19,4868,216,0,NaN,2022-02-09T09:15:13Z,"['세계여행', '탄자니아여행', '아프리카여행', '아프리카', 'africa travel', 'travel', 'world travel', 'dar es salaam']"
5,아무것도 모르고 갔었던 위험한 바닷가 [탄자니아🇹🇿 EP.05],19,24686,319,0,NaN,2022-02-12T03:54:05Z,"['세계여행', '아프리카여행', '탄자니아', 'world travel', 'travel', 'africa', 'africa travel', '여행유튜버']"
6,고통의 15시간 버스 [탄자니아🇹🇿 EP.06],19,7057,252,0,NaN,2022-02-14T11:26:18Z,"['세계여행', 'travel', 'world travel', 'tanzania', 'dar es slalaam', 'arusha', '여행', 'africa travel', '아프리카 여행']"
7,외국인을 처음 보는 아이들 [탄자니아🇹🇿 EP.07],19,6076,259,0,NaN,2022-02-19T04:15:41Z,"['배낭 여행', '아프리카', 'africa', '로드트립', '세계 여행', 'masai', 'tanzania', 'arusha', 'world travel', 'travel', 'tourlist']"
8,리얼 아프리카 물가 체험기 [탄자니아🇹🇿 EP.08],19,7159,231,0,NaN,2022-02-26T03:00:21Z,"['아프리카 물가', 'africa', 'tanzania', 'arusha', '여행 일상', '만원 살기', 'world travel', 'travel', '여행', 'africa travel', 'tourlist']"
9,가성비 사파리 여행 가보기 [탄자니아🇹🇿 EP.09],19,7410,243,0,NaN,2022-03-02T11:15:00Z,"['아프리카 물가', 'africa', 'tanzania', 'arusha', 'world travel', 'travel', '여행', 'africa travel', 'tourlist', '쫑쫑걸음', '사파리', '동물사파리', 'safari', 'tarangir', 'lion', '사자', '치타', '코끼리', '품바', '동물', 'tarangire', 'ngorongoro']"
10,분화구 안에 사는 동물들 [탄자니아🇹🇿 EP.10],19,4789,200,0,NaN,2022-03-04T08:08:17Z,"['아프리카 물가', 'africa', 'tanzania', 'arusha', 'world travel', 'travel', '여행', 'africa travel', 'tourlist', '쫑쫑걸음', '사파리', '동물사파리', 'safari', 'tarangir', 'lion', '사자', '치타', '코끼리', '품바', '동물', 'tarangire', 'ngorongoro']"
11,아프리카 사파리 여행 마지막 편 [탄자니아🇹🇿 EP.11],19,3528,168,0,NaN,2022-03-06T02:15:00Z,"['africa', 'tanzania', 'arusha', 'world travel', 'travel', '여행', 'africa travel', 'tourlist', '쫑쫑걸음', '사파리', '동물사파리', 'safari', 'tarangir', 'lion', '사자', '코끼리', '품바', '동물', 'tarangire', 'ngorongoro']"
12,아프리카 밤문화 체험기 & 개미의 습격 [탄자니아🇹🇿 EP.12],19,9249,208,0,NaN,2022-03-08T22:58:01Z,"['나이트', 'club', 'night culture', '클럽', '유훙', '유흥', '나이트클럽', '아프리카여행', '아프리카', '세계', 'travel', 'world travel', 'banana', '바나남', '바나나농장']"
13,🛩 경비행기 조종석 탑승기 [탄자니아🇹🇿 EP.13],19,3933,167,0,NaN,2022-03-13T04:14:13Z,"['아프리카여행', '아프리카', '세계', 'travel', 'world travel', '비행기 조종', '비행기 탑승', '비행기 여행', '경비행기 조종', '잔지바르', 'zanzibar', 'tanzania', '쫑쫑걸음']"
14,"유럽인들의 신혼여행지, 잔지바르 야시장 [탄자니아🇹🇿 EP.14]",19,12744,296,0,NaN,2022-03-15T09:28:13Z,"['아프리카여행', '아프리카', '세계', 'travel', 'world travel', '잔지바르', 'zanzibar', 'tanzania', '쫑쫑걸음', '탄자니아', '야시장', '시장', '나이트마켓', 'nightmarket']"
15,바다 위에 레스토랑이? [탄자니아🇹🇿 EP.15],19,7689,243,0,NaN,2022-03-17T08:37:41Z,"['아프리카여행', '아프리카', '세계', 'travel', 'world travel', '잔지바르', 'zanzibar', 'tanzania', '쫑쫑걸음', '탄자니아', '낙원', '파스타', 'pasta', 'restaurant', 'ocean', 'sea']"
16,낙원이지만... 미쳐버린 물가의 섬 탈출기 [탄자니아🇹🇿 EP.16],19,9425,309,0,NaN,2022-03-22T05:42:56Z,"['아프리카여행', '아프리카', '세계', 'travel', 'world travel', '잔지바르', 'zanzibar', 'tanzania', '쫑쫑걸음', '탄자니아', '낙원', 'pasta', 'ocean', 'sea', 'perry', '선박', '배', '바다 여행']"
17,여기는 천국인가 지옥인가...? 탄자니아 최대 시장으로 출격! [탄자니아🇹🇿 EP.17],19,31265,696,0,NaN,2022-03-25T09:18:29Z,"['아프리카여행', '아프리카', '세계', 'travel', 'world travel', 'tanzania', '쫑쫑걸음', '탄자니아', 'bazaar', '시장', '바자르', '마켓', 'market', '세계여행', '세계 여행', '배낭 여행', '배낭여행', '해외여행', '해외 여행', '아프리카 여행', '탄자니아 여행', '아프리카 물가', '여행 물가', '물가', '여행 유튜브', '여행 유튜브 추천', '여행 유튜버', '여행 유튜버 추천', '여행 채널', '여행 채널 추천', '다르에스살람', '탄자니아 물가', '여행 브이로그', '2022', '2022 영상', '웃긴 영상', '재밌는 영상']"
18,아프리카 수산시장 탐방기 [탄자니아🇹🇿 EP.18],19,17241,738,0,NaN,2022-03-30T10:12:54Z,"['아프리카여행', '아프리카', '세계', 'travel', 'world travel', 'tanzania', '쫑쫑걸음', '탄자니아', 'bazaar', '시장', '바자르', '마켓', 'market', 'fish market', 'fish', '생선']"
