,id,title,category_id,views,likes,favorites,comments,date,date_gap,duration,tags
0,iEHGHNnmbNo,[SUB][세계여행]🇨🇦EP.45 23시간 캐나다 레이오버를 하다.(What happened during the Canadian Layover for 23 hours.),19,264706,4050,0,NaN,2020-03-25T02:55:33Z,26628.08,839,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주', '캐나다', '토론토', 'toronto', 'canada', '쿠바', 'cuba', 'havana']"
1,GraqzpBqDrY,[SUB][세계여행]🇨🇺EP.46 인도 보다 강렬한 트래블러 촬영지 쿠바의 첫 인상 (First impression of Cuba  more intense than India.),19,349542,5042,0,NaN,2020-03-27T12:00:14Z,26571.0,952,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주', '쿠바', 'cuba', '하바나', 'havana']"
2,lYpdR__KKKQ,[SUB][세계여행]🇨🇺EP.47 쿠바 사람들이 아침마다 2시간 씩 줄을 서는 이유? (Why do Cubans line up for two hours every morning?),19,240562,3664,0,NaN,2020-03-30T12:00:20Z,26499.0,610,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
3,0Dz-EJlBaAQ,[SUB][세계여행]🇨🇺EP.48 트래블러 이제훈과 류준열도 다녀간 쿠바의 작은 해변 마을 '플라야 히론',19,245016,4096,0,NaN,2020-04-02T12:00:00Z,26427.0,917,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주', '쿠바', 'havana', '플라야히론', 'playagiron', '카리브해']"
4,6I31_Z2axCI,[SUB][세계여행]🇨🇺EP.49 쿠바 현지인이 알려주는 밤 낚시 법(Night fishing methods taught by Cuban locals),19,149022,2745,0,NaN,2020-04-07T12:00:02Z,26307.0,814,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주', '쿠바', '하바나', 'havana', 'playagiron', '플라야히론']"
5,8Qa68iBkOj0,[SUB][세계여행]🇨🇺EP.50 한국인과 쿠바인의 말할 수 없는 비밀(the unspeakable secrets of Koreans and Cubans),19,141903,2979,0,NaN,2020-04-15T13:00:08Z,26114.0,416,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주', '쿠바', 'cuba', 'playagiron']"
6,lEvpO-rkZPk,[SUB][세계여행]🇨🇺EP.51 애정하는 나의 도시 쿠바 안녕 (SEE YOU AGAIN MY CUBA),19,187768,3645,0,NaN,2020-04-18T12:20:16Z,26042.66,762,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주', '쿠바', '하바나', 'cuba', 'playagiron']"
7,m7B6Ja2ajgc,내 인생 최고의 초호화 럭셔리 퍼스트 클래스 탑승기 - 특별판 〔1〕,19,966224,11481,0,NaN,2021-08-01T10:30:07Z,14764.5,680,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
8,7vrNee_KvM4,브라질에서 가장 핫한 삼바 클럽 방문 해보기 - 특별판 〔2〕,19,208118,3984,0,NaN,2021-08-03T12:00:03Z,14715.0,788,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', '세계일주']"
9,ITprmT2Gv4s,세계 3대 축제 브라질 카니발 축제 방문기 - 특별판 〔3〕,19,161363,3351,0,NaN,2021-08-08T10:00:06Z,14597.0,693,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
10,_7xA-jRg9Eg,브라질의 관광지 물가와 로컬 물가 알아보기 - 특별판 〔4〕,19,149504,2819,0,NaN,2021-08-09T10:00:13Z,14573.0,481,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
11,qDcrBLiUH5w,미국 최고의 휴양지  플로리다 마이애미 1박 2일 방문기 - 특별판 〔마지막 편〕,19,335881,5697,0,NaN,2021-08-10T09:00:14Z,14550.0,617,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
12,gSWOmXJrxts,차 없이 힘들다는 LA  대중교통으로 여행하기 - 미국 〔01〕,19,667135,12925,0,NaN,2023-01-25T08:00:15Z,1759.0,1368,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
13,cVo2A5THhkk,내가 미국 한 달 여행을 혼자 캠핑카로 하는 이유 - 미국 〔02〕,19,771321,17576,0,NaN,2023-01-30T08:00:14Z,1639.0,1179,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
14,kW9MDBx7PZU,처음 만난 미국 Z세대의 집에 초대 받은 날 - 미국 〔03〕,19,690845,13769,0,NaN,2023-02-04T02:00:30Z,1524.99,1273,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
15,QHNm9xpG8KM,1 000억짜리 집이 있는 LA의 부촌과 악명 높은 슬럼가 가 보기 - 미국 〔04〕,19,542871,11158,0,NaN,2023-02-08T08:00:10Z,1423.0,1182,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
16,6PI2msdhEq4,미국에서 가장 큰 월마트 vs 세계에서 가장 큰 한인마트 - 미국 〔05〕,19,652327,12625,0,NaN,2023-02-13T08:00:06Z,1303.0,960,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
17,4Jnd9RqxQjQ,나홀로 미국 캠핑카 한 달 살이 - 미국 〔06〕,19,671349,13995,0,NaN,2023-02-18T04:27:31Z,1186.54,966,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
18,bOoOASMKp1w,미국의 지구 밖 행성 개척지 프로젝트 - 미국 〔07〕,19,383117,9355,0,NaN,2023-02-23T08:28:25Z,1062.53,1024,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
19,f1lgkB6bFp4,한국인 없는 미서부에서 캠핑카가 고장났을 때 미국인들의 놀라운 반응 - 미국 〔08〕,19,640981,14770,0,NaN,2023-02-28T08:00:25Z,942.99,1206,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
20,OT9Dy9SuLYI,두 얼굴의 도시  라스베이거스 낮과 밤 즐기기 - 미국 〔09〕,19,640845,13787,0,NaN,2023-03-06T08:00:08Z,799.0,1215,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
21,thyLPEiS9bw,인적 드문 미국 시골 마을의 유령 모텔 투숙기 - 미국 〔10〕,19,547181,12117,0,NaN,2023-03-13T08:21:38Z,630.64,1437,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
22,MPWxoLPHDoU,공짜 없는 자본주의 미국의 무료 온천 가보기 - 미국 〔11〕,19,796822,13940,0,NaN,2023-03-17T08:00:17Z,535.0,912,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
23,2zoKVg-S-Qk,미국 솔로 캠핑카 로드트립을 포기하는 이유 - 미국 〔12〕,19,537799,12277,0,NaN,2023-03-22T08:05:11Z,414.92,1021,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
24,-p80Ot8ocAo,GTA 실사판 무법자들의 도시 샌프란시스코 - 미국 〔13〕,19,416785,9893,0,NaN,2023-03-26T01:00:00Z,326.0,1319,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
25,_LkDzgNdI1I,실리콘밸리 구글 본사에 초대받아 가보기 - 미국 〔14〕,19,391710,9572,0,NaN,2023-04-01T01:00:24Z,182.0,1438,"['세계여행', '여행', 'travel', 'trip', 'worldtravel', 'hoilday', '세계일주']"
