,id,title,category_id,views,likes,favorites,comments,date,duration,tags
0,rXlWqIQ7Yus,[아기공룡 둘리-추억의 명작 만화★] 02화 내 친구들,1,4025219,8826,0,NaN,2013-09-25T10:13:43Z,1325,"['PLAYYANI', 'PLAYY Anime', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
1,uSyxGGk3R-s,[아기공룡 둘리-추억의 명작 만화★] 03화 희동이,1,4623252,10988,0,NaN,2013-09-26T03:28:04Z,1342,"['PLAYY Anime', 'PLAYYANI', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
2,zFzCBzaDXo0,[아기공룡 둘리-추억의 명작 만화★] 04화 타임코스모스 여행,1,7438742,12703,0,NaN,2013-09-26T03:47:11Z,1348,"['PLAYYANI', 'PLAYY Anime', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
3,ZsopBQbmCek,[아기공룡 둘리-추억의 명작 만화★] 06화 스타 탄생,1,1674725,3911,0,NaN,2013-09-26T04:07:44Z,1334,"['PLAYY Anime', 'PLAYYANI', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
4,y3LEJrzuYTo,[아기공룡 둘리-추억의 명작 만화★] 26화 길동씨 표류기(하),1,2053068,5925,0,NaN,2013-09-26T04:57:17Z,1329,"['PLAYYANI', 'PLAYY Anime', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
5,s7HZxZ7phOI,[아기공룡 둘리-추억의 명작만화★] 01화 아기공룡 둘리 등장,1,4632943,9699,0,NaN,2013-09-26T05:02:14Z,1327,"['PLAYY Anime', 'PLAYYANI', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '도우너', '길동아저씨', '공실이', '펭수선배', '남극유치원졸업생']"
6,M6XnFwX-iu0,[아기공룡 둘리-추억의 명작 만화★] 07화 도우너  엄마를 찾아서,1,3346085,5134,0,NaN,2013-09-26T05:09:30Z,1325,"['PLAYY Anime', 'PLAYYANI', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
7,NClf4U39tAI,[아기공룡 둘리-추억의 명작 만화★] 21화 오랑우탄 고향 수송작전,1,3669268,10781,0,NaN,2013-09-26T05:55:11Z,1389,"['PLAYY Anime', 'PLAYYANI', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
8,RLZd6T2tSj4,[아기공룡 둘리-추억의 명작 만화★] 08화 또치 또치 또치,1,2802582,5747,0,NaN,2013-09-26T06:04:23Z,1337,"['PLAYYANI', 'PLAYY Anime', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
9,wMwk9qnN28w,[아기공룡 둘리-추억의 명작 만화★] 22화 알 수 없는 나라,1,4295160,11183,0,NaN,2013-09-26T06:57:51Z,1343,"['PLAYY Anime', 'PLAYYANI', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
