,id,title,category_id,views,likes,favorites,comments,date,duration,tags
0,1zEEfcJ0XSs,-,-,-,-,-,-,-,-,-
1,Zd0OQDLYqn8,여우 같은 친구│웹드라마,24,132337,2709,0,NaN,2022-12-09T10:30:07Z,141,NaN
2,IUuDcea1RWM,여사친의 생리를 본 남사친 (웹드라마  설레는영상  연애  스킨십) [ENG CC],24,3088863,27557,0,NaN,2022-12-19T10:35:23Z,153,NaN
3,9tyY2d0Vez8,ㄱㅅ 커지는 방법│웹드라마 [ENG CC],24,436548,5087,0,NaN,2022-12-23T10:30:26Z,116,NaN
4,IOkXKEcmbuY,한국 여고생들이 장난치는 방법 (공감  학교  스킨십  가슴)│웹드라마 [ENG CC],24,534414,4973,0,NaN,2023-01-04T11:06:06Z,122,NaN
5,zjblPOoB2Cs,잘생긴 남자와 키스하는 방법 (훈남  첫키스  연애  설레는 영상  여고생  10대) │웹드라마 [ENG CC],24,86073,1554,0,NaN,2023-02-18T10:30:14Z,130,NaN
6,N9wq2jMRmCY,여고생이 친구 오빠를 덮치면 생기는 일│웹드라마 [ENG CC],24,270679,2431,0,NaN,2023-02-24T10:34:50Z,123,NaN
7,lo3lfa3wxwU,[일진과 찐따] 일진이 찐따를 좋아하면 생기는 일│웹드라마 (SUB),24,881688,8192,0,NaN,2023-02-28T10:30:53Z,297,NaN
8,wao090SG9V0,[일진과 찐따] 룸카페에서 데이트하면 생기는 일│웹드라마 (SUB),24,853802,7518,0,NaN,2023-03-13T11:00:12Z,249,NaN
9,xgwTM_ZAU_I,[일진과 찐따] 화장실에서 고백하면 생기는 일│웹드라마 (SUB),24,592287,7434,0,NaN,2023-03-31T10:30:19Z,408,NaN
10,YMxXBkNGU6I,[일진과 찐따] 일진이랑 노래방에 가면 생기는 일 (스케치코미디  너드남  츤데레)│웹드라마 (SUB),24,281478,3441,0,NaN,2023-04-10T10:32:06Z,361,NaN
11,cHDDvzPIObw,[일진과 찐따] 일진녀 집에 가면 생기는 일│웹드라마 (SUB),24,238380,4407,0,NaN,2023-04-14T11:30:55Z,285,NaN
