,id,title,category_id,views,likes,favorites,comments,date,duration,tags,views_scaled,likes_scaled,update_diff,time_gap_minutes,view_per_minutes,vpm_scaled
0,MBeYkDYMKT0,[EN/JP] 🎲 L 다음 또 O 다음 tto 당첨보다 짜릿하고 🌈 다채로운 리얼 버라이어티의 세계🗯 [돌박이일] EP.1-2 아이브 in 원주 2탄 [4K],10,888675,22576,0,,2022-09-04 11:00:11+00:00,1637,"['KBS', 'KPOP', '뮤직', 'KBSKPOP', 'K-POP', '케이팝', 'kpop', 'KBSKpop', '음악', 'kbs kpop', '아이브', '원영', '장원영', '유진', '안유진', '레이', '가을', '리즈', '이서', 'afterlife', '애프터라이크', '돌박이일', '1박2일', '돌박2일', '4k', '버라이어티', '안pd', '가을작가', '뮤뱅', '뮤직뱅크', 'ive', '스타쉽', 'GAEUL', 'ガウル', 'YUJIN', 'ユジン', 'REI', 'レイ', 'WONYOUNG', 'ウォニョン', 'LIZ', 'リズ', 'LEESEO', 'イソ', 'LOVE DIVE', '러브다이브', '아이브 뮤뱅', '뮤직뱅크 아이브', 'ive musicbank', 'ive eleven', 'musicbank ive', 'ive After LIKE', 'After LIKE 아이브', '아이브 에프터라이크', '뮤뱅 아이브', '일레븐', 'After LIKE ive', 'musicbank After LIKE', 'After LIKE', 'musicbank afterlike', '케이팝아이돌', 'IVE', '유튜브예능', '아이브예능', '아이브 예능', '일박2일', '아이브 원영', '아이브 유진', '수학여행']",2.4724345458562875,0.7870967741935484,0.0,355461.90990571666,2.500056898461255,0.3724840358395297
1,uBEX04c7yCU,[EN/JP] 😷아이브? 알아보지마!🫥 심장쫄깃 시장레이스 😈 거기 맑은 눈의 광인(👁‿👁)ㅋㅋ을 곁들인.. [돌박이일] EP.1-3 아이브 in 원주 [4K],10,433091,12794,0,,2022-09-11 11:00:14+00:00,1775,"['KBS', 'KPOP', '뮤직', 'KBSKPOP', 'K-POP', '케이팝', 'kpop', 'KBSKpop', '음악', 'kbs kpop', '아이브', 'IVe', 'IVE', '안유진', '장원영', '리즈', '가을', '이서', '레이', '김레이', '콘수니', '아이브 예능', '돌박', '돌박2일', '1박2일', '돌박이일', '돌박 아이브', '원주 아이브', '울렁다리', '소금산', '미로시장', '미로예술시장', '원주 시장', '아이브 AfterLIKE', '애프터라이크', 'AfterLIKE', '아이브 1위', '아이브 방송', '아이브 돌박', '아이브 1박', '아이돌', '아이돌 예능', '케이팝 예능', '아이브 유진', '아이브 원영', '아이브 장원영', '수학여행', '레이스', '아이브 이서', '아이브 레이', '아이브 리즈', '아이브 가을', '가을선배', '애프터라이크 아이브', '뮤뱅 아이브', 'ユジン', 'リズ', 'ウォニョン', 'レイ', 'イソ', 'ガウル', 'WONYOUNG', 'YUJIN', 'LEESEO', 'GAEUL', 'LIZ', 'REI', '돌박2일 아이브 예능', '아이브 교복', '원영 교복']",0.7662488437152413,0.2273657106072527,168.00083333333333,345381.8599057167,1.2539483113508811,-0.059972491402949656
2,JZrkv9Tl2Gg,[EN/JP] 💘건축학개론💘 그 첫사랑 원영 선배 왔다.. 얘들아(0명) 산삼면 들어본 사람?🍜 [돌박이일] EP.2-1 아이브 in 춘천 1탄 [4K],10,452771,13225,0,,2022-09-18 11:00:11+00:00,1791,"['KBS', 'KPOP', '뮤직', 'KBSKPOP', 'K-POP', '케이팝', 'kpop', 'KBSKpop', '음악', 'kbs kpop', '아이브', 'IVE', '안유진', '장원영', '가을', '이서', '레이', '리즈', '김지원', '콩순이', '콘수니', '원영', 'AfterLIKE', '아이브 AfterLIKE', '러브다이브', '일레븐', '돌박2일', '돌박', '돌박이일', '아이브 예능', '춘천', '아이브 춘천', '아이브 장원영', '아이브 안유진', '안유진 예능', '1박2일', '아이돌 예능', '아이브 뮤뱅', '춘천 케이블카', '가을선배', '장원영 춘천', '춘천 닭갈비', '아이브 1위', 'ガウル', 'YUJIN', 'ユジン', 'レイ', 'REI', 'LEESEO', 'イソ', 'ウォニョン', 'WONYOUNG', 'LIZ', 'リズ', 'ive musicbank', 'ive eleven', '4k', '아이브 대학교', '건축학개론', 'GAEUL', 'musicbank After LIKE', '케이팝 예능', '1N2D', 'IDOL 1N2D', '아이브 레이', '아이브 가을', '아이브 리즈', '닭갈비', '케이블카', '춘천 삼악산', '여행 예능', '아이브 여행', '춘천 여행', '춘천 코스']",0.8399514641280208,0.25202775194907373,167.99916666666667,335301.90990571666,1.3503382671673847,-0.026520779421633403
3,FpdjUR445Dk,[EN/JP] 아이브도 퇴근은 못 참지😜 NEW언니즈🛶 VS 작은 아기즈🚠 텔레파시 보내 빨리⚡️ [돌박이일] EP.2-2 아이브 in 춘천 2탄 [4K],10,269225,8391,0,,2022-09-25 09:00:08+00:00,1874,"['KBS', 'KPOP', '뮤직', 'KBSKPOP', 'K-POP', '케이팝', 'kpop', 'KBSKpop', '음악', 'kbs kpop', '아이브', 'IVE', '안유진', '장원영', '가을', '이서', '레이', '리즈', '김지원', '콩순이', '콘수니', '원영', 'AfterLIKE', '아이브 AfterLIKE', '러브다이브', '일레븐', '돌박2일', '돌박', '돌박이일', '아이브 예능', '춘천', '아이브 춘천', '아이브 장원영', '아이브 안유진', '안유진 예능', '1박2일', '아이돌 예능', '아이브 뮤뱅', '춘천 케이블카', '가을선배', '장원영 춘천', '춘천 닭갈비', '아이브 1위', 'ガウル', 'YUJIN', 'ユジン', 'レイ', 'REI', 'LEESEO', 'イソ', 'ウォニョン', 'WONYOUNG', 'LIZ', 'リズ', 'ive musicbank', 'ive eleven', '4k', '아이브 대학교', '건축학개론', 'GAEUL', 'musicbank After LIKE', '케이팝 예능', '1N2D', 'IDOL 1N2D', '아이브 레이', '아이브 가을', '아이브 리즈', '닭갈비', '케이블카', '춘천 삼악산', '여행 예능', '아이브 여행', '춘천 여행', '춘천 코스']",0.15256217722334367,-0.02457621057148988,165.99916666666667,325341.95990571665,0.8275139182109211,-0.20796467977371064
4,Jlkd0FAvn9o,[EN/JP] 가지마yo...우리 좋았잖아... 아이돌 세끼 진행시켜?!😎 (feat. 1회요정 아이브) [돌박이일] EP.2-3 아이브 in 춘천 3탄 [4K],24,176860,7011,0,,2022-09-25 10:00:11+00:00,1021,"['KBS', 'KPOP', '뮤직', 'KBSKPOP', 'K-POP', 'kpop', '음악', 'kbs kpop', '아이브', '장원영', '안유진', '가을', '이서', '레이', '리즈', '김가을', '유진', '원영', '콩순이', '아이브 돌박2일', '돌박2일', '돌박이일', '1박2일', '춘천', '춘천여행', '춘천 케이블카', '아이브 춘천', '애프터라이크', '아이브 AfterLIKE', 'AfterLIKE', 'LOVE DIVE', '일레븐', '아이브 일본', '아이브 예능', '뮤직뱅크 아이브', 'IVE', '김지원', '콘수니', '돌박', '아이브 장원영', '아이브 안유진', '안유진 예능', '아이돌 예능', '아이브 뮤뱅', '가을선배', '장원영 춘천', '춘천 닭갈비', '아이브 1위', 'ガウル', 'YUJIN', 'ユジン', 'レイ', 'REI', 'LEESEO', 'イソ', 'ウォニョン', 'WONYOUNG', 'LIZ', 'リズ', 'ive musicbank', 'ive eleven', '4k', '아이브 대학교', '건축학개론', 'GAEUL', '케이팝 예능', '1N2D', 'IDOL 1N2D', '아이브 레이', '아이브 가을', '아이브 리즈', '케이블카', '춘천 삼악산', '여행 예능', '아이브 여행']",-0.1933495369243387,-0.10354051927616051,1.0008333333333332,325281.90990571666,0.5437129905295474,-0.30645654868690514
5,tEtRoxCyJIE,[EN/JP] 아이브X돌박2일 in 원주 몰아보기 ❤️‍🔥 완전판 ✨ @idolhumandocu,24,170836,2007,0,,2022-10-10 06:28:55+00:00,4182,"['KBS', 'KPOP', '뮤직', 'KBSKPOP', 'K-POP', '케이팝', 'kpop', 'KBSKpop', '음악', 'kbs kpop', '뮤뱅', '뮤직뱅크', '아이브', 'ive', '스타쉽', '가을', '유진', '레이', '원영', '리즈', '이서', 'GAEUL', 'ガウル', 'YUJIN', 'ユジン', 'REI', 'レイ', 'WONYOUNG', 'ウォニョン', 'LIZ', 'リズ', 'LEESEO', 'イソ', 'LOVE DIVE', '러브다이브', '아이브 뮤뱅', '뮤직뱅크 아이브', 'ive musicbank', 'ive eleven', 'musicbank ive', 'ive After LIKE', 'After LIKE 아이브', '아이브 에프터라이크', '뮤뱅 아이브', '일레븐', 'After LIKE ive', 'musicbank After LIKE', 'After LIKE', 'musicbank afterlike', '원테이크', '뮤뱅 원테이크', '세븐틴', '뉴진스', '르세라핌', '트와이스', 'NCT127', 'NCTdream', '엔드림', '일박이일', '1박2일', '돌박이일', 'IVE', '유튜브예능', '아이브예능', '아이브 예능', '아이브 원영', '아이브 유진', '수학여행', '장원영', '돌박2일']",-0.21590972927020174,-0.3898719691009227,356.4788888888889,303893.1765723833,0.5621580646425246,-0.3000552665048077
6,31L4l8QnyK8,[EN/JP] 아이브X돌박2일 in 춘천 몰아보기 ❤️‍🔥 완전판 ✨  @콜라보 ​,24,385489,3643,0,,2022-11-08 11:22:18+00:00,4481,,0.5879768855399803,-0.2962592089264001,700.8897222222222,261839.79323905,1.4722322960592276,0.015782009413487345
7,WV5nKtv5pXE,[EN/JP]🔥큰 거 왔다!🔥취향저격 오징어게임🦑 그런데 돈이 사라진다?!💸 어디 한 번 놀아볼까? [돌박이일] EP.3-1 하이라이트 in 속초 1탄 [4K],10,108440,6822,0,,2022-11-13 11:00:11+00:00,1856,"['KBS', 'KPOP', '뮤직', 'KBSKPOP', 'K-POP', '케이팝', 'kpop', 'KBSKpop', '음악', 'kbs kpop', '하이라이트', '양요섭', '윤두준', '이기광', '손동운', '요섭', '두준', '동운', '기광', 'Alone', '하이라이트 컴백', '돌박2일', '돌박이일', '하이라이트 돌박', '예능', '1박2일', '오징어게임', '넷플릭스', '할랕', '라이트', '하이라이트 1위', '돌박', '돌박이일 하이라이트', '이기광의 가요광장', '아이돌 예능', 'KBS 예능', '케이팝 예능', '비스트', 'Beast', 'B2ST', '뷰티', '하이라이트 Alone', '하이라이트 뮤직뱅크', '하이라이트 직캠', '비스트 컴백', '입중계', '하이라이트 월드컵', '윤두준 양요섭 중계', '윤두준 축구', '하이라이트 축구', '축구 중계', '하이라이트 입중계', '카타르 월드컵', '카타르 월드컵 중계', '우루과이', '조규성', '축구가수']",-0.4495859845179557,-0.11435519633788713,119.63138888888889,254661.90990571666,0.4258194719428111,-0.3473709779427407
8,1ULMljez9BE,[EN/JP] 마음이 두준두준한 건 파도 때문인가 🌊하이라이트 때문인가✨ [돌박이일] EP.3-2 하이라이트 in 속초 2탄 [4K],10,75743,4801,0,,2022-11-20 11:00:10+00:00,2147,"['KBS', 'KPOP', '뮤직', 'KBSKPOP', 'K-POP', '케이팝', 'kpop', 'KBSKpop', '음악', 'kbs kpop', '하이라이트', 'Highlight', 'Alone', '하이라이트 컴백', '하이라이트 1위', '양요섭', '윤두준', '이기광', '손동운', '하이라이트 뮤직뱅크', '돌박2일', '환승연애', '오징어게임', '돌박이일', '기광', '동운', '두준', '요섭', '비스트', 'Beast', 'B2ST', '요트', '속초', '여행', '1박2일', '일박이일', '돌박이일 하이라이트', '돌박2일 하이라이트', '하이라이트 Alone', 'Alone 직캠', '넷플릭스', '요트 예능', '오징어빵', '오징어순대', '아바이순대', '붕어빵', '구슬게임', '복불복', '환승연애 패러디', '윤양이손', '비스트 노래모음', '하이라이트 노래모음', '필름카메라', '사건의 지평선', '독기돌', 'Sily', '클래식', '마음이 두준두준', '먹방', '축구', '입중계', '카타르', '월드컵 하이라이트', '월드컵 윤두준', '윤두준 양요섭', '우루과이', '한국 우루과이', '중계 하이라이트', '축구 윤두준', '식샤를 합시다']",-0.5720379448653466,-0.22999785423074173,167.99972222222223,244581.92657238332,0.30968355291609856,-0.3876754399694977
9,D0AN25eENDk,[EN/JP] 올인하시겠습니까? 당연하죠 우린 하이라이트에 인생을 걸었어요👊 [돌박이일] EP.3-3 하이라이트 in 속초 3탄 [4K],10,61923,4347,0,,2022-11-27 11:00:07+00:00,2353,"['KBS', 'KPOP', '뮤직', 'KBSKPOP', 'K-POP', '케이팝', 'kpop', 'KBSKpop', '음악', 'kbs kpop']",-0.6237945614357031,-0.2559759673843073,167.99916666666667,234501.9765723833,0.2640617401401149,-0.40350829027137997
