,id,title,category_id,views,likes,favorites,comments,date,duration,tags,views_scaled,likes_scaled,update_diff,time_gap_minutes,view_per_minutes,vpm_scaled
0,NCE4FwCsXvo,Cafe Owner Simulator - Ep. 1 - Restoring the Cafe,20,7058,320,0,,2023-01-23 18:00:16+00:00,1615,"['lets', 'play', 'walkthrough', 'playthrough', 'guide', 'review', 'gameplay', 'simulator', 'cafe owner simulator', 'cafe simulator', 'restaurant simulator', 'motel simulator', 'cafe game', 'simulation', 'single player', 'first person', 'toogii']",4.280268572666233,2.7169811320754715,0.0,131960.05072528333,0.05348588425972542,1.4666558803395937
1,MljxzqZTFno,Cafe Owner Simulator - Ep. 2 - Twinsies,20,4354,260,0,,2023-01-27 18:00:08+00:00,1536,"['lets', 'play', 'walkthrough', 'playthrough', 'guide', 'review', 'gameplay', 'simulator', 'cafe owner simulator', 'cafe simulator', 'restaurant simulator', 'motel simulator', 'cafe game', 'simulation', 'single player', 'first person', 'toogii']",1.9376218323586745,1.8113207547169812,95.99777777777778,126200.18405861667,0.034500742074810936,0.14901052122231745
2,Qbvc73O_BR4,Cafe Owner Simulator - Ep. 3 - Cozy Cabin Cafe,20,3113,204,0,,2023-02-01 18:00:19+00:00,679,"['lets', 'play', 'walkthrough', 'playthrough', 'guide', 'review', 'gameplay', 'simulator', 'cafe owner simulator', 'cafe simulator', 'restaurant simulator', 'motel simulator', 'cafe game', 'simulation', 'single player', 'first person', 'toogii']",0.8624648039852718,0.9660377358490566,120.00305555555556,119000.00072528333,0.02615966370610783,-0.42989392392259274
3,MuFtgwCQl2g,Cafe Owner Simulator - Ep. 4 - Training Turtles,20,2824,178,0,,2023-02-16 18:00:09+00:00,1574,"['lets', 'play', 'walkthrough', 'playthrough', 'guide', 'review', 'gameplay', 'simulator', 'cafe owner simulator', 'cafe simulator', 'restaurant simulator', 'motel simulator', 'cafe game', 'simulation', 'single player', 'first person', 'toogii']",0.6120857699805068,0.5735849056603773,359.9972222222222,97400.16739195,0.028993790006909166,-0.23319413990041093
4,Sw_fsj2rsl0,Cafe Owner Simulator - Ep. 5 - Funky Fast Food,20,2294,146,0,,2023-02-23 18:00:11+00:00,1080,"['lets', 'play', 'walkthrough', 'playthrough', 'guide', 'review', 'gameplay', 'simulator', 'cafe owner simulator', 'cafe simulator', 'restaurant simulator', 'motel simulator', 'cafe game', 'simulation', 'single player', 'first person', 'toogii']",0.15291314706519385,0.09056603773584905,168.00055555555556,87320.13405861666,0.0262711461077244,-0.42215659608577294
5,iywYeJ28YAM,Cafe Owner Simulator - Ep. 6 - You Can't Beat Our Meat,20,2232,135,0,,2023-02-28 18:00:18+00:00,1486,"['lets', 'play', 'walkthrough', 'playthrough', 'guide', 'review', 'gameplay', 'simulator', 'cafe owner simulator', 'cafe simulator', 'restaurant simulator', 'motel simulator', 'cafe game', 'simulation', 'single player', 'first person', 'toogii']",0.09919861381849686,-0.07547169811320754,120.00194444444445,80120.01739195,0.02785820663369275,-0.3120082012877574
6,EeDSslumGK0,Cafe Owner Simulator - Ep. 7 - Unnecessary Expansion,20,2003,121,0,,2023-03-07 18:00:06+00:00,1198,"['lets', 'play', 'walkthrough', 'playthrough', 'guide', 'review', 'gameplay', 'simulator', 'cafe owner simulator', 'cafe simulator', 'restaurant simulator', 'motel simulator', 'cafe game', 'simulation', 'single player', 'first person', 'toogii']",-0.09919861381849686,-0.28679245283018867,167.99666666666667,70040.21739195,0.0285978552692244,-0.2606736059240148
7,mrH3Sbi_QS4,Cafe Owner Simulator - Ep. 8 - Starting Over...,20,1813,145,0,,2023-03-14 17:00:36+00:00,1014,"['lets', 'play', 'walkthrough', 'playthrough', 'guide', 'review', 'gameplay', 'simulator', 'cafe owner simulator', 'cafe simulator', 'restaurant simulator', 'motel simulator', 'cafe game', 'simulation', 'single player', 'first person', 'toogii']",-0.26380766731643923,0.07547169811320754,167.00833333333333,60019.71739195,0.030206740031121244,-0.1490105212223172
8,7NHnqCMUUz0,Cafe Owner Simulator - Ep. 9 - Irish Pub Remodel,20,1769,128,0,,2023-03-21 17:00:07+00:00,1129,"['lets', 'play', 'walkthrough', 'playthrough', 'guide', 'review', 'gameplay', 'simulator', 'cafe owner simulator', 'cafe simulator', 'restaurant simulator', 'motel simulator', 'cafe game', 'simulation', 'single player', 'first person', 'toogii']",-0.30192765865280485,-0.1811320754716981,167.99194444444444,49940.200725283335,0.03542236463427758,0.21297484008340786
9,lohaXCNa2EI,Cafe Owner Simulator - Ep. 10 - MAX LVL?!,20,1661,110,0,,2023-03-28 17:00:27+00:00,974,"['lets', 'play', 'walkthrough', 'playthrough', 'guide', 'review', 'gameplay', 'simulator', 'cafe owner simulator', 'cafe simulator', 'restaurant simulator', 'motel simulator', 'cafe game', 'simulation', 'single player', 'first person', 'toogii']",-0.39549491011479315,-0.4528301886792453,168.00555555555556,39859.86739195,0.0416709866008097,0.6466543803726346
