,id,title,category_id,views,likes,favorites,comments,date,duration,tags,views_scaled,likes_scaled,update_diff,time_gap_minutes,view_per_minutes,vpm_scaled
0,m9m_eHVEGYA,[ENG] 핑계고_설명_영상.mp4,23,834756,19510,0,,2022-11-15 09:00:25+00:00,163,"['뜬뜬', '핑계고', '유재석']",-1.2196508290465005,-0.8428832408327139,0.0,231859.96072065,3.600259386767224,-0.4696196067608447
1,HsnXd-qK1KY,[ENG] 산책은 핑계고,23,2966429,61052,0,,2022-11-17 08:00:09+00:00,1918,"['뜬뜬', '핑계고', '유재석', '지석진', '산책']",-0.1460244990055975,0.3113577794294367,46.995555555555555,229040.22738731667,12.95156328579627,-0.2848867295492727
2,O_ri_EHavSo,[ENG] 몸보신은 핑계고,23,5945064,80182,0,,2022-11-25 09:00:11+00:00,2045,"['뜬뜬', '핑계고', '유재석', '송은이', '몸보신']",1.354177907077036,0.8428832408327139,193.00055555555556,217460.19405398334,27.338630988824416,-0.0006734861219011314
3,xQjkPhVgvRo,[ENG] 조찬 모임은 핑계고,23,3303517,51226,0,,2022-12-02 23:00:07+00:00,2347,"['뜬뜬', '유재석', '조남지대', '조세호', '남창희', '토크', '조찬모임']",0.023751330749166924,0.03834318540180463,181.9988888888889,206540.26072065003,15.994542606238282,-0.22477336661825575
4,W7uLhS9qfis,[ENG] 피크닉은 핑계고,23,4558602,81171,0,,2022-12-16 09:00:08+00:00,2182,"['뜬뜬', '핑계고', '유재석', '지석진', '이광수', '피크닉']",0.6558803216588359,0.8703625237040072,322.0002777777778,187220.24405398333,24.34887329110396,-0.05973546802612431
5,47iiFY6YfZg,(live) 모닝콜은 핑계고,23,474053,12502,0,,2022-12-17 04:00:53+00:00,1465,,-1.4013204557316177,-1.0375999388731827,19.0125,186079.49405398333,2.547583238067452,-0.4904149841564501
6,VnVlLCk9oOA,[ENG] 또 피크닉은 핑계고,23,2167412,40367,0,,2022-12-23 09:00:10+00:00,2070,"['뜬뜬', '핑계고', '유재석', '이광수', '지석진', '토크', '피크닉']",-0.5484528683428702,-0.2633732278432653,148.98805555555555,177140.21072065,12.235573115682962,-0.29903095217409487
7,W7h5exjKWZ8,[ENG] 신년모임은 핑계고,23,4466611,61484,0,,2022-12-31 23:00:11+00:00,2620,"['뜬뜬', '핑계고', '유재석', '조세호', '남창희', '홍진경', '신년모임', '2023']",0.6095486564706045,0.32336086355521904,206.00027777777777,164780.19405398334,27.106479790506263,-0.0052595801336548864
8,MgDRnTGPGwY,[ENG] 또 신년모임은 핑계고,23,2087277,30206,0,,2023-01-07 23:00:10+00:00,2280,,-0.5888132078310693,-0.5456957690517702,167.99972222222223,154700.21072065,13.492399204090948,-0.2742026392486343
9,JdU-QezqYTM,[ENG] 설 연휴는 핑계고,23,7156868,92724,0,,2023-01-21 00:00:10+00:00,3473,"['뜬뜬', '핑계고', '이동욱', '유재석', '조남지대', '조세호', '남창희', '설연휴', '명절', '귀성길']",1.9645082350630292,1.1913616693178108,313.0,135920.21072065,52.65492131048231,0.49944405918949936
10,XW3lAxx4AL8,[ENG] 축하 파티는 핑계고,23,3039423,48298,0,,2023-02-07 09:00:07+00:00,2594,"['뜬뜬', '핑계고', '김종국', '짐종국', '지석진', '유재석', '토크', '축하파티', '유료광고포함']",-0.10926075506597557,-0.04301105145071998,416.99916666666667,110900.26072065,27.40681564001093,0.0006734861219011314
11,SRyk6t77Er8,[ENG] 커피 한잔은 핑계고,23,5714983,98079,0,,2023-02-25 03:00:08+00:00,3391,,1.2382966158836206,1.3401498996269874,426.0002777777778,85340.24405398333,66.96703370551526,0.7821765775909557
12,jSwDoRePjKc,[ENG] 230222 mini핑계고 : 유재석  조세호  주우재 @뜬뜬편집실 (OneCam),23,2436433,35220,0,,2023-03-01 12:00:35+00:00,1846,"['뜬뜬', '핑계고', '미니핑계고', '미니핑', '유재석', '조세호', '주우재', '토크']",-0.41295927765896434,-0.4063821954252134,105.0075,79039.79405398334,30.825396613963118,0.06820677411230613
13,Cb5IC4TmECo,[ENG] 수란은 핑계고,23,4541877,65261,0,,2023-03-11 00:00:09+00:00,2478,,0.6474567030410019,0.4283044949049409,227.99277777777777,65360.22738731666,69.48992042340055,0.8320156296959996
14,qnQitl3u3lw,[ENG] 또 수란은 핑계고 (근데 진짜 함),23,3209201,48466,0,,2023-03-18 00:00:11+00:00,2614,,-0.023751330749166924,-0.03834318540180463,168.00055555555556,55280.19405398333,58.053359886292846,0.6060889828629743
15,UXrlLtBhrTA,[ENG] 봄맞이는 핑계고,23,3409269,46334,0,,2023-03-21 09:00:08+00:00,4196,,0.07701378313022424,-0.097580628355897,80.99916666666667,50420.24405398333,67.61706659630218,0.7950178291954182
16,m4TzpZjabQM,[ENG] 가짜의 삶은 핑계고,23,3061793,40743,0,,2023-04-08 02:00:09+00:00,2931,,-0.0979940077726454,-0.25292609906712143,425.0002777777778,24920.227387316667,122.86376654646105,1.8864037950923176
17,ZfOXJJN7nNk,[EN/JP/ES] 편한 동생들은 핑계고,23,5276994,227117,0,,2023-04-11 09:00:12+00:00,2882,,1.017701560887716,4.925460014031383,79.00083333333333,20180.177387316668,261.4939352969521,4.6250111826955616
