,id,title,category_id,views,likes,favorites,comments,date,duration,tags,views_scaled,likes_scaled,update_diff,time_gap_minutes,view_per_minutes,vpm_scaled
0,wu1fOmsPEr8,성시경의 먹을텐데 l 대성집 도가니탕,24,2198081,37446,0,,2022-03-11 09:00:14+00:00,581,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']",1.268954148212591,1.6567024754787483,0.0,590420.1523062333,3.7229098488832086,-0.009694651827759063
1,28pXe1a9yrA,성시경의 먹을텐데 l 어머니 대성집 해장국,24,1817566,26360,0,,2022-03-17 09:00:14+00:00,942,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']",0.7987274102341031,0.6211116300794022,144.0,581780.1523062333,3.1241457667385024,-0.20009435691826977
2,p52CSWUXQMk,성시경의 먹을텐데 l 약수 순대국,24,1506023,24308,0,,2022-03-25 09:00:11+00:00,637,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']",0.4137337867763366,0.42942550210182157,191.99916666666667,570260.2023062333,2.640940037388855,-0.35374790947719453
3,DpGJEDKsf1o,성시경의 먹을텐데 l 화목 순대국,24,3228999,31833,0,,2022-04-01 09:00:12+00:00,656,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']",2.542925498260044,1.1323680523120037,168.00027777777777,560180.1856395666,5.764214948647997,0.6394155746955497
4,a4IFiQUf3D4,성시경의 먹을텐데 l 신미식당 감자탕,24,1484028,23872,0,,2022-04-05 09:00:15+00:00,776,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']",0.3865531576241696,0.38869687062120506,96.00083333333333,554420.1356395667,2.6767209641259844,-0.3423700093963942
5,QakFqXFK2Xs,성시경의 먹을텐데 l 신당 중앙시장 습격사건,24,2681284,39054,0,,2022-04-08 10:00:13+00:00,1605,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']",1.8660790196931352,1.8069126576366183,72.99944444444445,550040.1689729,4.874705796499936,0.3565624689486847
6,s1ToTcCXgy0,성시경의 먹을텐데 l 경원식당 부대찌개,24,1456076,21610,0,,2022-04-15 09:00:15+00:00,577,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']",0.35201108233154066,0.17739374124241009,167.00055555555556,540020.1356395667,2.6963364954447724,-0.3361325087017746
7,AHPEiQSyezo,성시경의 먹을텐데 l 첫 게스트와 안동국시 (GUEST.유세윤),24,2204729,35118,0,,2022-04-19 09:00:14+00:00,1360,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']",1.2771695072761784,1.4392340028024289,95.99972222222222,534260.1523062333,4.126695562981587,0.11870430057552228
8,qfRHMGywHVQ,성시경의 먹을텐데 l 이태원 숯불구이,24,1784233,24847,0,,2022-04-22 09:00:14+00:00,1563,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']",0.7575356888642835,0.47977580569827183,72.0,529940.1523062333,3.3668575446401654,-0.12291495970235289
9,iPVLZhuog-g,성시경의 먹을텐데 l 부영각 부추 복어살,24,1385556,21823,0,,2022-04-25 09:00:11+00:00,1455,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '한식', '맛집', '맛집 소개', '먹방', '소주', '안주', 'kfood', 'koreafood']",0.2648650051407782,0.19729098552078467,71.99916666666667,525620.2023062333,2.636040231940622,-0.3553059880930708
