,id,title,category_id,views,likes,favorites,comments,date,duration,tags,views_scaled,likes_scaled,update_diff,time_gap_minutes,view_per_minutes,vpm_scaled
0,-oeDGn727eQ,천원VS만원VS십만원!! 고기 사먹기!! 10만원이면 소고기 가능?!,24,1236810,13750,0,,2022-05-03 09:00:00+00:00,777,"['파뿌리', '예능', '게임', 'GAME', '오락', '버라이어티', 'variety', '웹예능', '플레이']",1.008332455042831,0.817105727094142,0.0,534142.1158083334,2.315507359175934,-0.42774159963855046
1,TI8oFza27Zs,천원VS만원VS십만원!! 해산물 사먹기!! 제일 비싼 해산물은 무엇?!,24,1164082,13900,0,,2022-05-28 09:00:11+00:00,823,"['파뿌리', '예능', '게임', 'GAME', '오락', '버라이어티', 'variety', '웹예능', '플레이']",0.8565471600259209,0.8473278597693044,600.0030555555555,498141.932475,2.3368480429188145,-0.4191224842717039
2,yRAXUxcEQBU,천원VS만원VS십만원!! 중국음식 사먹기!! 최고급 중식은 무엇?!,24,1229096,13667,0,,2022-06-14 09:00:34+00:00,1132,"['파뿌리', '예능', '게임', 'GAME', '오락', '버라이어티', 'variety', '웹예능', '플레이']",0.9922331292568828,0.8003828136805521,408.00638888888886,473661.5491416667,2.5948823632132987,-0.314907099140664
3,C_6S5ruiTJE,천원VS만원VS십만원!! 라면 사먹기!! 10만원짜리 라면은 과연?!,24,1668421,14835,0,,2022-07-12 09:00:08+00:00,947,"['파뿌리', '예능', '게임', 'GAME', '오락', '버라이어티', 'variety', '웹예능', '플레이']",1.9091162380087259,1.035712486777817,671.9927777777777,433341.982475,3.8501254608910482,0.19206283690610512
4,FkIteC4Jjic,천원VS만원VS십만원!! 시장 먹방!! 시장에서 10만원이면 몇 인분 사먹을까??,24,1072528,13005,0,,2022-07-26 09:00:11+00:00,947,"['파뿌리', '예능', '게임', 'GAME', '오락', '버라이어티', 'variety', '웹예능', '플레이']",0.6654714959078619,0.6670024681408352,336.00083333333333,413181.932475,2.5957766196974124,-0.31454592515500396
5,TfvkKevYNbs,천원vs만원vs십만원!! 한강 먹방!! 한강 라면 10만원 사먹기?!,24,736345,9686,0,,2022-08-30 09:00:16+00:00,757,"['파뿌리', '예능', '게임', 'GAME', '오락', '버라이어티', 'variety', '웹예능', '플레이']",-0.036151480589084226,-0.001712587518259205,840.0013888888889,362781.84914166667,2.0297184154669674,-0.5431665741180391
6,7YHE7MuubrQ,천원vs만원vs십만원!! 분식 사먹기!! 10만원이면 라면 몇 그릇?!,24,749318,10249,0,,2022-09-27 09:00:03+00:00,773,"['파뿌리', '예능', '게임', 'GAME', '오락', '버라이어티', 'variety', '웹예능', '플레이']",-0.009076480145590999,0.1117211504558505,671.9963888888889,322462.06580833334,2.323739997514571,-0.42441658622899137
7,yjCQvyCHFLQ,천원vs만원vs십만원!! 일본 음식 사먹기!! 일본 가도 10만원이면 다 먹나?!,24,699772,9703,0,,2022-10-11 09:00:24+00:00,1070,"['파뿌리', '예능', '게임', 'GAME', '오락', '버라이어티', 'variety', '웹예능', '플레이']",-0.11248031672720785,0.001712587518259205,336.0058333333333,302301.7158083333,2.314813192934944,-0.4280219608016205
8,gJDwLq2NLBw,천원vs만원vs십만원!! 치킨 사먹기!! 10만원으로 몇 마리까지 가능?!,24,1210694,11831,0,,2022-11-08 09:01:47+00:00,952,"['파뿌리', '예능', '게임', 'GAME', '오락', '버라이어티', 'variety', '웹예능', '플레이']",0.9538276595766884,0.43046390973656373,672.0230555555555,261980.332475,4.621316373493544,0.5035328687790134
9,nXG9mVgtUjU,천원vs만원vs십만원!! 디저트 사먹기!! 호텔 가면 10만원짜리 디저트 있나?!,24,775532,9198,0,,2022-11-22 09:00:24+00:00,1062,"['파뿌리', '예능', '게임', 'GAME', '오락', '버라이어티', 'variety', '웹예능', '플레이']",0.045632843960300574,-0.10003525915478768,335.9769444444444,241821.71580833333,3.2070403495717597,-0.06766758372821521
