,id,title,category_id,views,likes,favorites,comments,date,date_gap,duration,tags,views_scaled,likes_scaled,update_diff,time_gap_minutes,view_per_minutes
0,-wFbetcmEpw,[돈을말하다] 재테크 유튜버 신사임당 사기를 당하고도 성공할 수 있었던 이유,26,32684,101,0,,2020-02-10 00:07:53+00:00,1665704.87,508,"['하나은행', '돈을말하다', '경제유튜브', '재테크유튜브', '유튜버', '경제유튜버', '신사임당', '주언규', '돈', '경제공부', 'hanabank', '재테크', '금융']",2.293905517490083,2.3529411764705883,0.0,1673775.7176941498,0.01952710847366491
1,O1hjL9WqGIY,[돈을말하다] 연봉 10배 재테크 유튜버 신사임당의 유튜버 성공기!,26,2389,65,0,,2020-02-12 05:32:31+00:00,1662500.23,449,"['#KEB하나은행', '하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q']",-0.4373422286332492,1.2941176470588236,53.410555555555554,1670571.0843608165,0.001430049892737168
2,VdNh-hJ3Luc,[돈을말하다] 월 매출 1억 신사임당이 알려주는 재테크 비법!,26,3809,77,0,,2020-02-13 07:00:04+00:00,1660972.68,437,"['#KEB하나은행', '하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q']",-0.3093220338983051,1.6470588235294117,25.45916666666667,1669043.5343608165,0.002282145385416031
3,rDeNE85YS0c,"[돈을말하다] 연봉 10억 유튜버 자청 ""돈 버는 게 제일 쉬웠어요!""",26,16299,353,0,,2020-02-21 09:51:28+00:00,1649281.28,541,"['하나은행', '라이프해커자청', '자청', '돈을말하다', '경제유튜브', '재테크유튜브', '재테크방법', '유튜버시작', '유튜버성공기', '유튜버수익', '하나talk.TV', '무자본창업', '0원창업', '재테크']",0.8167147493689145,9.764705882352942,194.85666666666665,1657352.1343608166,0.009834361486664969
4,oTyaTxHGW0c,[돈을말하다] 0원으로 연봉 10억을 만들어낸 유튜버 자청의 성공 스토리 “성공이 가장 쉬웠어요!”,26,5684,184,0,,2020-02-27 22:00:08+00:00,1639912.61,471,"['하나은행', '하나토크TV', '돈을말하다', '라이프해커', '자청']",-0.14028128380815003,4.794117647058823,156.14444444444445,1647983.4676941498,0.0034490637263206434
5,WyUV-kCAidQ,[돈을말하다] 스타트업 창업만 4번  연쇄창업가 핀다 이혜민 대표가 생각하는 돈이란?,26,6691,78,0,,2020-03-30 06:17:18+00:00,1594775.44,824,"['#KEB하나은행', '하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q']",-0.049495131626397404,1.6764705882352942,752.2861111111112,1602846.3010274833,0.004174448913605019
6,dGiFUrkGoLo,[돈을말하다] 집 차 커피 절대 사지 마세요! 운용업계 스타 CEO 존리가 말하는 부자 되는 법,26,270687,5658,0,,2020-04-02 22:00:20+00:00,1589512.41,724,"['하나은행', 'KEBHANA.COM', '하나원큐', '재테크', '재테크방법', '부자되는방법']",23.75108186080058,165.7941176470588,87.71722222222222,1597583.2676941499,0.16943529985181455
7,YS8fspynzFE,[돈을말하다] 먹어서 혼내줘야 할 음식점? 선한 영향력의 선두주자 CEO 오인태를 만나다!,26,2563,48,0,,2020-04-20 06:19:26+00:00,1564533.3,692,"['#KEB하나은행', '하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q']",-0.4216552470248828,0.7941176470588235,416.3183333333333,1572604.16769415,0.0016297807500777707
8,k0WixoL325Q,[돈을말하다] 서촌의 황태자 스타 셰프 이재훈의 성공스토리,26,1549,29,0,,2020-04-23 08:58:54+00:00,1560053.83,766,"['#KEB하나은행', '하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q']",-0.5130724846736386,0.23529411764705882,74.65777777777778,1568124.7010274832,0.0009878040942694467
9,RiRODu2v7rg,[#EVENT] 큰 돈 필요없이 부동산 투자 시작할 수 있어요! 이지영 작가의 돈을 말하다!,26,3084,52,0,,2020-05-18 23:00:15+00:00,1523212.48,998,"['#KEB하나은행', '하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q']",-0.37468445726649835,0.9117647058823529,614.0225,1531283.3510274834,0.0020139969509435675
10,JDauNu4plRc,[돈을말하다] 시련 후에 제2의 전성기를 맞게 된 배우! 원조 하이틴스타 김승현의 돈을 말하다,26,1304,31,0,,2020-05-26 03:16:43+00:00,1512876.01,861,"['#KEB하나은행', '하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q']",-0.5351604760187523,0.29411764705882354,172.27444444444444,1520946.8843608166,0.0008573606438255144
11,Wg2e-OxZqiY,[돈을말하다] 지성과 미모를 모두 갖춘 재테크 여왕! 소사장소피아가 돈을 끌어당기는 비법,26,1728,46,0,,2020-06-03 23:00:11+00:00,1500172.54,976,"['#KEB하나은행', '하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q']",-0.4969347277316985,0.7352941176470589,211.72444444444446,1508243.41769415,0.0011457036574651993
12,PsYzhTUWm28,[돈을말하다] 남의 집으로 돈 버는 남자가 있다?! ‘남의집 프로젝트’ 김성용 대표의 돈,26,2494,56,0,,2020-06-16 02:53:51+00:00,1482658.88,684,"['#KEB하나은행', '하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q']",-0.4278759466282005,1.0294117647058822,291.89444444444445,1490729.7510274833,0.001673006122190165
13,qlJ6tKL5cCs,[돈을말하다] 나이는 숫자~ 은퇴는 진짜~ 100세 시대 ‘아모르 파티’를 맞기 위한 돈을 말하다,26,13160,171,0,,2020-07-03 03:48:20+00:00,1458124.39,928,"['하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q', '은퇴', '노후대비', '재테크', '부자되는법', '금퇴족']",0.5337179949513162,4.411764705882353,408.90805555555556,1466195.2676941499,0.0089756121097679
14,cAYdwqNpU9w,[돈을말하다] “이 시대 최고의 재테크는 절약이다” 티끌 모아 2억 만든 유튜버 강과장,26,28870,405,0,,2020-07-09 22:00:07+00:00,1448392.61,879,"['하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q', '재테크', '짠테크', '내집마련', '자기계발', '부자되는법', '강상규']",1.9500540930400287,11.294117647058824,162.1963888888889,1456463.4843608167,0.019821986826308854
15,EAnk3uGOL0Q,[돈을말하다] 임직원 평균연령이 60대?! 우리나라 대표 해운회사 남해고속 나광수 회장의 재테크 비법은?,26,3462,53,0,,2020-07-23 02:51:43+00:00,1429381.0,783,"['하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q']",-0.3406058420483231,0.9411764705882353,316.86,1437451.8843608166,0.0024084284403991913
16,VLt75XXVzk4,[돈을말하다] 흙수저 출신 박홍일이 주식투자를 시작한 이유는? 주식유튜버 냉철TV의 재테크 이야기,26,42285,2463,0,,2020-07-28 22:00:06+00:00,1421032.62,777,"['하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q']",3.1594843130183916,71.82352941176471,139.13972222222222,1429103.5010274833,0.029588479749436156
17,VqoFILmN3NI,[돈을말하다 시즌2] 밀레니얼 후배들에게 앞서가는 노하우를 알려주는 드로우 앤드류의 돈을 말하다!,22,779,22,0,,2020-09-02 04:24:56+00:00,1370247.78,943,"['하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q']",-0.5824918860439957,0.029411764705882353,846.4138888888889,1378318.66769415,0.0005651813461274695
18,8x5EYZZaExY,[돈을말하다 시즌2] 집으로 출근하는 일러스트레이터 전희성 작가의 돈 이야기!,26,766,19,0,,2020-09-25 01:46:31+00:00,1337286.2,877,"['하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q']",-0.5836639019112874,-0.058823529411764705,549.3597222222222,1345357.0843608165,0.0005693655676284108
19,BDBdPD73-mo,[돈을말하다 시즌2] 노후 준비는 지금부터! 트러스톤 연금 포럼 강창희 대표의 돈 이야기,26,28545,586,0,,2020-10-30 01:07:51+00:00,1286924.86,807,"['하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q', 'HanaOneQ']",1.9207536963577354,16.61764705882353,839.3555555555556,1294995.7510274833,0.02204254336537526
20,vtcy3qsGy00,[돈을말하다 시즌2] T1의 자랑이자 주축 영앤리치 프로게이머 테디의 돈 이야기!,20,10762,221,0,,2020-11-25 09:07:56+00:00,1249004.78,506,"['하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q', 'HanaOneQ', 'T1', 'Teddy', '테디', 'LoL', 'LeagueofLegends', '리그오브레전드', '돈을말하다']",0.3175261449693473,5.882352941176471,632.0013888888889,1257075.66769415,0.008561139378141574
21,boUZqWDdcL4,[돈을말하다 시즌2] 아이돌부터 본부장까지! 똑 부러지는 웨이의 돈 이야기!,20,2208,40,0,,2020-11-30 01:00:05+00:00,1242292.63,730,"['하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q', 'HanaOneQ']",-0.4536602957086188,0.5588235294117647,111.86916666666667,1250363.5176941499,0.0017658864552221338
22,prIdpcd5ojs,[돈을말하다 시즌2] 돌아온 그녀  몸매 관리의 대명사! 강하나 강사의 돈 이야기!,26,638,10,0,,2020-12-15 01:54:40+00:00,1220638.04,775,"['하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q', 'HanaOneQ']",-0.5952037504507753,-0.3235294117647059,360.90972222222223,1228708.9343608166,0.0005192442100471031
23,Jx66SFPOcdM,[돈을말하다 시즌2] 게임을 예술로 승화시키다! 감각 있는 배상현 대표의 돈 이야기!,26,902,30,0,,2020-12-23 02:10:26+00:00,1209102.27,688,"['하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q', 'HanaOneQ']",-0.5714028128380815,0.2647058823529412,192.26277777777779,1217173.16769415,0.0007410613575295752
24,stKxcWDagzs,[돈을말하다 시즌2] 집도 마음도 클린하게! 청소계의 어벤져스 이준희 대표의 돈 이야기!,26,950,20,0,,2020-12-30 02:16:44+00:00,1199015.97,754,"['하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q', 'HanaOneQ']",-0.5670753696357735,-0.029411764705882353,168.105,1207086.86769415,0.0007870187518606239
25,HDyTKU2m9os,[돈을말하다 시즌2] 좋아하는 것을 하자! 안훈의 게임 사랑과 돈 이야기!,26,972,17,0,,2021-01-20 01:51:55+00:00,1168800.79,781,"['하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q', 'HanaOneQ']",-0.565091958168049,-0.11764705882352941,503.5863888888889,1176871.6843608166,0.0008259184182240847
26,bFz8qNArGi4,[돈을말하다 시즌2] 자신감 뿜뿜! 욕심도 많고 목표도 뚜렷한 겜튜버 민식박의 돈 이야기!,26,37673,414,0,,2021-01-30 01:00:06+00:00,1154452.6,715,"['하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q', 'HanaOneQ']",2.7436891453299674,11.558823529411764,239.1363888888889,1162523.5010274833,0.0324062265981747
27,UHPkahpjLos,[돈을말하다 시즌2] 30만 유튜버 수입은 얼마? 외국인 크리에이터 에밀의 돈 이야기!,26,828,19,0,,2021-02-16 23:00:14+00:00,1128652.47,760,"['하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q', 'HanaOneQ']",-0.5780742877749729,-0.058823529411764705,430.0022222222222,1136723.36769415,0.0007284094121154586
28,Zk5yAoVDYjA,[돈을말하다 시즌2] 코딩으로 돈 버는 법 공개! 코딩 전문 유튜버 조코딩의 돈 이야기!,26,8460,61,0,,2021-02-25 23:00:09+00:00,1115692.55,826,"['하나은행', 'KEBHANA.COM', '하나원큐', 'HANA1Q', 'HanaOneQ']",0.10998918139199423,1.1764705882352942,215.9986111111111,1123763.4510274832,0.007528274738126449
